volumeId,volumeName,volumeYear
vol290,journal290,2002
vol291,journal291,2006
vol292,journal292,2006
vol293,journal293,2019
vol294,journal294,2014
vol295,journal295,2005
vol296,journal296,2017
vol297,journal297,2021
vol298,journal298,2013
vol299,journal299,2004
vol300,journal300,2013
vol301,journal301,2004
vol302,journal302,2008
vol303,journal303,2004
vol304,journal304,2014
vol305,journal305,2021
vol306,journal306,2010
vol307,journal307,2010
vol308,journal308,2018
vol309,journal309,2021
vol310,journal310,2004
vol311,journal311,2012
vol312,journal312,2017
vol313,journal313,2020
vol314,journal314,2016
vol315,journal315,2020
vol316,journal316,2008
vol317,journal317,2018
vol318,journal318,2010
vol319,journal319,2001
vol320,journal320,2022
vol321,journal321,2006
vol322,journal322,2022
vol323,journal323,2013
vol324,journal324,2008
vol325,journal325,2004
vol326,journal326,2017
vol327,journal327,2021
vol328,journal328,2016
vol329,journal329,2004
vol330,journal330,2019
vol331,journal331,2013
vol332,journal332,2019
vol333,journal333,2007
vol334,journal334,2010
vol335,journal335,2012
vol336,journal336,2003
vol337,journal337,2007
vol338,journal338,2020
vol339,journal339,2018
vol340,journal340,2017
vol341,journal341,2001
vol342,journal342,2003
vol343,journal343,2013
vol344,journal344,2002
vol345,journal345,2001
vol346,journal346,2021
vol347,journal347,2014
vol348,journal348,2011
vol349,journal349,2006
vol350,journal350,2002
vol351,journal351,2012
vol352,journal352,2011
vol353,journal353,2021
vol354,journal354,2016
vol355,journal355,2006
vol356,journal356,2001
vol357,journal357,2007
vol358,journal358,2005
vol359,journal359,2010
vol360,journal360,2007
vol361,journal361,2008
vol362,journal362,2008
vol363,journal363,2013
vol364,journal364,2020
vol365,journal365,2018
vol366,journal366,2019
vol367,journal367,2020
vol368,journal368,2014
vol369,journal369,2018
vol370,journal370,2001
vol371,journal371,2005
vol372,journal372,2001
vol373,journal373,2004
vol374,journal374,2001
vol375,journal375,2002
vol376,journal376,2022
vol377,journal377,2006
vol378,journal378,2004
vol379,journal379,2013
vol380,journal380,2003
vol381,journal381,2001
vol382,journal382,2022
vol383,journal383,2014
vol384,journal384,2022
