END_ID,START_ID,comment,acceptanceProbability
2-s2.0-85183353537,57733029300,Needs more clarity.,0.604
2-s2.0-85183353537,57898854000,Great paper!,0.36
2-s2.0-85185109820,58748387000,Interesting findings.,0.123
2-s2.0-85185109820,57752668500,Interesting findings.,0.414
2-s2.0-85185109820,55725718800,Great paper!,0.929
2-s2.0-85182696492,57283468600,Great paper!,0.188
2-s2.0-85182696492,57215223011,Great paper!,0.502
2-s2.0-85182696492,57218186035,Interesting findings.,0.97
2-s2.0-85183001474,8871390600,Needs more clarity.,0.918
2-s2.0-85183001474,57193643395,Great paper!,0.55
2-s2.0-85183001474,57221087441,Interesting findings.,0.351
2-s2.0-85186113186,57092777600,Needs more clarity.,0.674
2-s2.0-85186113186,57575334700,Great paper!,0.453
2-s2.0-85186113186,24315159000,Interesting findings.,0.49
2-s2.0-85185953088,58740215700,Needs more clarity.,0.903
2-s2.0-85185953088,56105416500,Interesting findings.,0.859
2-s2.0-85185953088,57190680120,Interesting findings.,0.155
2-s2.0-85182641662,57917362100,Needs more clarity.,0.563
2-s2.0-85182641662,56580444700,Great paper!,0.61
2-s2.0-85182641662,58809786900,Needs more clarity.,0.084
2-s2.0-85185398111,7407400077,Interesting findings.,0.577
2-s2.0-85185398111,35227668900,Needs more clarity.,0.897
2-s2.0-85185398111,54083203000,Needs more clarity.,0.167
2-s2.0-85184457029,36041695200,Needs more clarity.,0.988
2-s2.0-85184457029,57196156927,Great paper!,0.131
2-s2.0-85184457029,35227881400,Interesting findings.,0.439
2-s2.0-85182989848,58298682400,Needs more clarity.,1.0
2-s2.0-85182989848,57219518198,Great paper!,0.067
2-s2.0-85182989848,57204472491,Great paper!,0.957
2-s2.0-85184731613,57208663914,Great paper!,0.323
2-s2.0-85184731613,57950238700,Great paper!,0.87
2-s2.0-85184731613,58885710700,Interesting findings.,0.043
2-s2.0-85182656908,55869211900,Interesting findings.,0.657
2-s2.0-85182656908,24295098400,Interesting findings.,0.807
2-s2.0-85182656908,58247049100,Interesting findings.,0.846
2-s2.0-85183014619,57861137300,Needs more clarity.,0.82
2-s2.0-85183014619,7403452656,Great paper!,0.356
2-s2.0-85183014619,58602724100,Needs more clarity.,0.723
2-s2.0-85185499350,57384872100,Interesting findings.,0.6
2-s2.0-85185499350,55794310600,Great paper!,0.012
2-s2.0-85185499350,58844324300,Interesting findings.,0.675
2-s2.0-85185665553,7006762643,Needs more clarity.,0.571
2-s2.0-85185665553,36716248900,Great paper!,0.417
2-s2.0-85185665553,57565315900,Great paper!,0.348
2-s2.0-85183817305,57192027574,Great paper!,0.328
2-s2.0-85183817305,55659940800,Needs more clarity.,0.436
2-s2.0-85183817305,49762300500,Great paper!,0.77
2-s2.0-85184368036,58866909100,Needs more clarity.,0.382
2-s2.0-85184368036,56052684100,Needs more clarity.,0.489
2-s2.0-85184368036,57204631342,Needs more clarity.,0.833
2-s2.0-85185932800,58502959600,Great paper!,0.532
2-s2.0-85185932800,16641740300,Interesting findings.,0.112
2-s2.0-85185932800,23062556900,Interesting findings.,0.945
2-s2.0-85185930748,57549861000,Needs more clarity.,0.156
2-s2.0-85185930748,56358931400,Needs more clarity.,0.102
2-s2.0-85185930748,58747960400,Interesting findings.,0.994
2-s2.0-85182608806,57351407400,Needs more clarity.,0.657
2-s2.0-85182608806,57954900000,Great paper!,0.115
2-s2.0-85182608806,57218998142,Great paper!,0.081
2-s2.0-85185309439,57482750800,Needs more clarity.,0.595
2-s2.0-85185309439,57215004375,Interesting findings.,0.904
2-s2.0-85185309439,24179341900,Interesting findings.,0.844
2-s2.0-85185243583,57190676385,Great paper!,0.407
2-s2.0-85185243583,58179780300,Needs more clarity.,0.363
2-s2.0-85185243583,58772999700,Needs more clarity.,0.575
2-s2.0-85183043610,58398239200,Interesting findings.,0.632
2-s2.0-85183043610,57200022394,Needs more clarity.,0.388
2-s2.0-85183043610,58628406200,Needs more clarity.,0.321
2-s2.0-85185123631,58785884400,Needs more clarity.,0.762
2-s2.0-85185123631,58620653800,Great paper!,0.236
2-s2.0-85185123631,58491835500,Great paper!,0.007
2-s2.0-85184951441,57226043139,Interesting findings.,0.153
2-s2.0-85184951441,9336690700,Needs more clarity.,0.847
2-s2.0-85184951441,13612079900,Needs more clarity.,0.672
2-s2.0-85185238934,57169645600,Interesting findings.,0.716
2-s2.0-85185238934,35588010400,Needs more clarity.,0.52
2-s2.0-85185238934,58765460900,Interesting findings.,0.066
2-s2.0-85185695691,58850772700,Interesting findings.,0.567
2-s2.0-85185695691,56903313400,Needs more clarity.,0.304
2-s2.0-85185695691,57221744420,Needs more clarity.,0.524
2-s2.0-85183740821,14321679500,Needs more clarity.,0.859
2-s2.0-85183740821,7404962761,Needs more clarity.,0.696
2-s2.0-85183740821,35227018400,Great paper!,0.229
2-s2.0-85185594715,58842357500,Needs more clarity.,0.238
2-s2.0-85185594715,56723159500,Needs more clarity.,0.432
2-s2.0-85185594715,58908145100,Needs more clarity.,0.582
2-s2.0-85183383309,36796181800,Great paper!,0.238
2-s2.0-85183383309,23486234200,Great paper!,0.197
2-s2.0-85183383309,58701956300,Interesting findings.,0.561
2-s2.0-85184248747,44661003300,Interesting findings.,0.553
2-s2.0-85184248747,58747270400,Interesting findings.,0.674
2-s2.0-85184248747,58159023800,Interesting findings.,0.844
2-s2.0-85183640977,35200191600,Great paper!,0.064
2-s2.0-85183640977,56258504400,Great paper!,0.221
2-s2.0-85183640977,58465954700,Needs more clarity.,0.985
2-s2.0-85185278097,57192988385,Needs more clarity.,0.742
2-s2.0-85185278097,56149720600,Great paper!,0.506
2-s2.0-85185278097,55485427700,Interesting findings.,0.22
2-s2.0-85182997448,58867312700,Great paper!,0.278
2-s2.0-85182997448,57210573961,Needs more clarity.,0.23
2-s2.0-85182997448,57563715800,Great paper!,0.316
2-s2.0-85183448796,57204874984,Needs more clarity.,0.118
2-s2.0-85183448796,55751458600,Interesting findings.,0.03
2-s2.0-85183448796,55635870500,Great paper!,0.292
2-s2.0-85182860492,35070391800,Great paper!,0.079
2-s2.0-85182860492,57221133592,Needs more clarity.,0.568
2-s2.0-85182860492,57218684116,Great paper!,0.217
2-s2.0-85182852472,57885179700,Interesting findings.,0.053
2-s2.0-85182852472,56547756700,Great paper!,0.348
2-s2.0-85182852472,55675224194,Interesting findings.,0.29
2-s2.0-85183803256,57222662099,Great paper!,0.549
2-s2.0-85183803256,26426403600,Interesting findings.,0.965
2-s2.0-85183803256,57872370400,Needs more clarity.,0.323
2-s2.0-85185517909,58891463500,Great paper!,0.388
2-s2.0-85185517909,57110443900,Great paper!,0.113
2-s2.0-85185517909,58064148200,Great paper!,0.148
2-s2.0-85185396395,57202559951,Great paper!,0.595
2-s2.0-85185396395,57195770238,Needs more clarity.,0.63
2-s2.0-85185396395,57799937300,Great paper!,0.571
2-s2.0-85183034647,36998085200,Interesting findings.,0.465
2-s2.0-85183034647,57210570624,Great paper!,0.347
2-s2.0-85183034647,58837303700,Great paper!,0.368
2-s2.0-85182822548,57309586900,Needs more clarity.,0.162
2-s2.0-85182822548,57830996500,Great paper!,0.788
2-s2.0-85182822548,57990888000,Interesting findings.,0.077
2-s2.0-85185497191,57220091486,Interesting findings.,0.743
2-s2.0-85185497191,57192310879,Great paper!,0.694
2-s2.0-85185497191,56985209200,Interesting findings.,0.367
2-s2.0-85185407075,57195302948,Interesting findings.,0.36
2-s2.0-85185407075,57204468637,Interesting findings.,0.527
2-s2.0-85185407075,58198515900,Interesting findings.,0.151
2-s2.0-85184122079,57845752600,Needs more clarity.,0.92
2-s2.0-85184122079,57903089400,Interesting findings.,0.23
2-s2.0-85184122079,58872438400,Great paper!,0.101
2-s2.0-85185206767,58613814200,Interesting findings.,0.852
2-s2.0-85185206767,57202608583,Needs more clarity.,0.098
2-s2.0-85185206767,57207774082,Needs more clarity.,0.725
2-s2.0-85183388175,57221606973,Great paper!,0.35
2-s2.0-85183388175,57226895412,Interesting findings.,0.287
2-s2.0-85183388175,58682914900,Great paper!,0.178
2-s2.0-85183021686,58870233700,Needs more clarity.,0.555
2-s2.0-85183021686,56084106000,Great paper!,0.286
2-s2.0-85183021686,56746797600,Interesting findings.,0.547
2-s2.0-85184674680,7201599101,Interesting findings.,0.351
2-s2.0-85184674680,35227980000,Interesting findings.,0.607
2-s2.0-85184674680,57213510374,Needs more clarity.,0.145
2-s2.0-85183032071,56142848800,Interesting findings.,0.738
2-s2.0-85183032071,57193547008,Interesting findings.,0.121
2-s2.0-85183032071,57445824900,Interesting findings.,0.088
2-s2.0-85183057099,57195732274,Great paper!,0.628
2-s2.0-85183057099,57193136786,Needs more clarity.,0.368
2-s2.0-85183057099,55506141700,Needs more clarity.,0.762
2-s2.0-85184270676,57219641478,Great paper!,0.294
2-s2.0-85184270676,58138845300,Interesting findings.,0.197
2-s2.0-85184270676,57201983440,Great paper!,0.474
2-s2.0-85185455424,57338559500,Great paper!,0.658
2-s2.0-85185455424,58851624300,Needs more clarity.,0.809
2-s2.0-85185455424,57125086700,Interesting findings.,0.717
2-s2.0-85183434269,57224768880,Interesting findings.,0.148
2-s2.0-85183434269,7406678276,Interesting findings.,0.936
2-s2.0-85183434269,56038247200,Great paper!,0.474
2-s2.0-85185979605,26425343500,Great paper!,0.669
2-s2.0-85185979605,7103255150,Great paper!,0.975
2-s2.0-85185979605,57664766300,Great paper!,0.49
2-s2.0-85185915447,58838532300,Needs more clarity.,0.792
2-s2.0-85185915447,36464705500,Interesting findings.,0.851
2-s2.0-85185915447,57369129400,Interesting findings.,0.13
2-s2.0-85183020493,58845524000,Interesting findings.,0.9
2-s2.0-85183020493,57289093900,Needs more clarity.,0.739
2-s2.0-85183020493,57203356577,Needs more clarity.,0.223
2-s2.0-85184219087,58034145700,Interesting findings.,0.781
2-s2.0-85184219087,58629322000,Interesting findings.,0.343
2-s2.0-85184219087,57194518133,Needs more clarity.,0.526
2-s2.0-85185522197,58745173800,Needs more clarity.,0.456
2-s2.0-85185522197,58883798000,Interesting findings.,0.268
2-s2.0-85185522197,57331413900,Great paper!,0.257
2-s2.0-85183387773,57888502400,Great paper!,0.015
2-s2.0-85183387773,57953005900,Interesting findings.,0.415
2-s2.0-85183387773,57207006270,Great paper!,0.614
2-s2.0-85185135484,7406632290,Interesting findings.,0.828
2-s2.0-85185135484,57224411682,Great paper!,0.999
2-s2.0-85185135484,58156281100,Great paper!,0.676
2-s2.0-85183631176,55553935700,Great paper!,0.908
2-s2.0-85183631176,57855152500,Interesting findings.,0.934
2-s2.0-85183631176,57946807100,Needs more clarity.,0.92
2-s2.0-85183655005,58245493200,Needs more clarity.,0.855
2-s2.0-85183655005,55267029100,Great paper!,0.888
2-s2.0-85183655005,57054825600,Interesting findings.,0.856
2-s2.0-85184110555,57224930482,Great paper!,0.596
2-s2.0-85184110555,57491504600,Interesting findings.,0.543
2-s2.0-85184110555,35216980200,Needs more clarity.,0.624
2-s2.0-85185131100,55190765100,Interesting findings.,0.164
2-s2.0-85185131100,55946706700,Needs more clarity.,0.143
2-s2.0-85185131100,57196411332,Great paper!,0.154
2-s2.0-85183786792,58596830900,Needs more clarity.,0.259
2-s2.0-85183786792,57216683794,Interesting findings.,0.536
2-s2.0-85183786792,58605271700,Needs more clarity.,0.564
2-s2.0-85182840590,58607808400,Needs more clarity.,0.103
2-s2.0-85182840590,57210944483,Interesting findings.,0.194
2-s2.0-85182840590,26659472100,Interesting findings.,0.588
2-s2.0-85184105521,57194153171,Interesting findings.,0.529
2-s2.0-85184105521,58498609000,Great paper!,0.585
2-s2.0-85184105521,58666374000,Great paper!,0.794
2-s2.0-85183792036,57224810580,Interesting findings.,0.769
2-s2.0-85183792036,57371531100,Great paper!,0.838
2-s2.0-85183792036,58742533900,Great paper!,0.137
2-s2.0-85182499878,57474976500,Needs more clarity.,0.419
2-s2.0-85182499878,24605508000,Needs more clarity.,0.928
2-s2.0-85182499878,8685813300,Interesting findings.,0.603
2-s2.0-85182698964,35876661400,Interesting findings.,0.631
2-s2.0-85182698964,57234834400,Needs more clarity.,0.972
2-s2.0-85182698964,58648291800,Needs more clarity.,0.999
2-s2.0-85182696785,58855501000,Great paper!,0.414
2-s2.0-85182696785,57204307424,Interesting findings.,0.197
2-s2.0-85182696785,57225135088,Needs more clarity.,0.8
2-s2.0-85185502177,57188593480,Great paper!,0.224
2-s2.0-85185502177,26668051000,Needs more clarity.,0.854
2-s2.0-85185502177,57215863256,Great paper!,0.699
2-s2.0-85185272179,58548610100,Great paper!,0.877
2-s2.0-85185272179,26031799900,Interesting findings.,0.15
2-s2.0-85185272179,56585200100,Interesting findings.,0.587
2-s2.0-85182684565,57771013200,Great paper!,0.739
2-s2.0-85182684565,55999232000,Great paper!,0.997
2-s2.0-85182684565,58747821200,Needs more clarity.,0.629
2-s2.0-85185540777,56227678400,Great paper!,0.93
2-s2.0-85185540777,57748183100,Needs more clarity.,0.867
2-s2.0-85185540777,56344349100,Needs more clarity.,0.336
2-s2.0-85185237420,57226497767,Great paper!,0.891
2-s2.0-85185237420,16506742000,Needs more clarity.,0.329
2-s2.0-85185237420,57834456600,Interesting findings.,0.855
2-s2.0-85182981752,7005167500,Interesting findings.,0.484
2-s2.0-85182981752,57194013599,Great paper!,0.887
2-s2.0-85182981752,57875394100,Interesting findings.,0.794
2-s2.0-85185916796,58136979500,Great paper!,0.322
2-s2.0-85185916796,7403319338,Great paper!,0.052
2-s2.0-85185916796,57210551958,Interesting findings.,0.822
2-s2.0-85184268537,58462568300,Interesting findings.,0.163
2-s2.0-85184268537,7004045219,Interesting findings.,0.716
2-s2.0-85184268537,56438439100,Needs more clarity.,0.747
2-s2.0-85185974339,58612351700,Great paper!,0.647
2-s2.0-85185974339,57190374490,Great paper!,0.509
2-s2.0-85185974339,58187037900,Interesting findings.,0.197
2-s2.0-85185496295,55920328200,Great paper!,0.346
2-s2.0-85185496295,57801686600,Interesting findings.,0.79
2-s2.0-85185496295,57216339017,Great paper!,0.99
2-s2.0-85183607198,55975259000,Needs more clarity.,0.486
2-s2.0-85183607198,57223054245,Interesting findings.,0.87
2-s2.0-85183607198,16021876900,Needs more clarity.,0.502
2-s2.0-85183827137,58647441400,Interesting findings.,0.628
2-s2.0-85183827137,57191739483,Interesting findings.,0.301
2-s2.0-85183827137,57223242366,Needs more clarity.,0.927
2-s2.0-85183605696,55477461600,Interesting findings.,0.462
2-s2.0-85183605696,55642342300,Interesting findings.,0.209
2-s2.0-85183605696,58838047300,Great paper!,0.587
2-s2.0-85185329612,49360940000,Great paper!,0.041
2-s2.0-85185329612,58888958500,Great paper!,0.761
2-s2.0-85185329612,57219794250,Needs more clarity.,0.102
2-s2.0-85185124499,58785807000,Interesting findings.,0.582
2-s2.0-85185124499,55821119700,Needs more clarity.,0.922
2-s2.0-85185124499,36100697900,Needs more clarity.,0.15
2-s2.0-85183406078,58500800200,Needs more clarity.,0.395
2-s2.0-85183406078,58196731400,Needs more clarity.,0.597
2-s2.0-85183406078,57191707889,Interesting findings.,0.986
2-s2.0-85183911168,57194111278,Interesting findings.,0.934
2-s2.0-85183911168,7402953225,Needs more clarity.,0.777
2-s2.0-85183911168,55295449600,Great paper!,0.583
2-s2.0-85181257279,57210219534,Great paper!,0.589
2-s2.0-85181257279,36618431600,Interesting findings.,0.412
2-s2.0-85181257279,57216546647,Interesting findings.,0.694
2-s2.0-85183127918,58173667400,Needs more clarity.,0.63
2-s2.0-85183127918,57238094400,Interesting findings.,0.014
2-s2.0-85183127918,57577639300,Needs more clarity.,0.538
2-s2.0-85181852184,58855455600,Great paper!,0.149
2-s2.0-85181852184,57217164865,Needs more clarity.,0.115
2-s2.0-85181852184,58117881500,Great paper!,0.391
2-s2.0-85181874649,57222017678,Needs more clarity.,0.944
2-s2.0-85181874649,57565954200,Needs more clarity.,0.925
2-s2.0-85181874649,23092493400,Needs more clarity.,0.154
2-s2.0-85185271303,56564631000,Interesting findings.,0.644
2-s2.0-85185271303,7101796001,Needs more clarity.,0.062
2-s2.0-85185271303,56344810300,Great paper!,0.263
2-s2.0-85181230481,56166066700,Needs more clarity.,0.94
2-s2.0-85181230481,57226091647,Interesting findings.,0.063
2-s2.0-85181230481,56697678800,Great paper!,0.844
2-s2.0-85181249092,57680349600,Interesting findings.,0.642
2-s2.0-85181249092,23569191100,Needs more clarity.,0.929
2-s2.0-85181249092,57203036347,Needs more clarity.,0.786
2-s2.0-85184619295,16199134500,Great paper!,0.974
2-s2.0-85184619295,8335720800,Interesting findings.,0.38
2-s2.0-85184619295,57206694942,Needs more clarity.,0.331
2-s2.0-85181910320,57201189988,Great paper!,0.002
2-s2.0-85181910320,56259309900,Needs more clarity.,0.992
2-s2.0-85181910320,23396642100,Great paper!,0.49
2-s2.0-85182462320,58699440900,Great paper!,0.938
2-s2.0-85182462320,56549418300,Interesting findings.,0.569
2-s2.0-85182462320,54406356800,Great paper!,0.84
2-s2.0-85182193508,34877072700,Needs more clarity.,0.516
2-s2.0-85182193508,58838478400,Needs more clarity.,0.98
2-s2.0-85182193508,58089938800,Great paper!,0.736
2-s2.0-85182199295,57191076901,Interesting findings.,0.856
2-s2.0-85182199295,58889421200,Interesting findings.,0.43
2-s2.0-85182199295,58563606800,Great paper!,0.001
2-s2.0-85185317859,56034447300,Great paper!,0.186
2-s2.0-85185317859,57220486332,Interesting findings.,0.878
2-s2.0-85185317859,7005720392,Great paper!,0.265
2-s2.0-85181758790,57198242690,Interesting findings.,0.927
2-s2.0-85181758790,58138158000,Needs more clarity.,0.589
2-s2.0-85181758790,55977968400,Great paper!,0.926
2-s2.0-85181669346,57196402050,Interesting findings.,0.568
2-s2.0-85181669346,6602955847,Great paper!,0.503
2-s2.0-85181669346,55522678400,Great paper!,0.544
2-s2.0-85171991792,57196017017,Great paper!,0.773
2-s2.0-85171991792,55747825600,Needs more clarity.,0.688
2-s2.0-85171991792,58464212500,Needs more clarity.,0.364
2-s2.0-85183536890,23991941100,Needs more clarity.,0.084
2-s2.0-85183536890,57965696500,Great paper!,0.656
2-s2.0-85183536890,58897935400,Needs more clarity.,0.47
2-s2.0-85181686987,58790094900,Interesting findings.,0.772
2-s2.0-85181686987,57191709489,Interesting findings.,0.577
2-s2.0-85181686987,57263971100,Needs more clarity.,0.907
2-s2.0-85185327699,6506789754,Needs more clarity.,0.697
2-s2.0-85185327699,57222479659,Needs more clarity.,0.594
2-s2.0-85185327699,26641461100,Great paper!,0.416
2-s2.0-85182463369,7402948343,Great paper!,0.963
2-s2.0-85182463369,58677456800,Interesting findings.,0.326
2-s2.0-85182463369,16064307500,Needs more clarity.,0.495
2-s2.0-85182475629,56963035600,Great paper!,0.334
2-s2.0-85182475629,57272518800,Needs more clarity.,0.421
2-s2.0-85182475629,7006812991,Interesting findings.,0.676
2-s2.0-85182432140,8661183300,Needs more clarity.,0.661
2-s2.0-85182432140,58849198100,Interesting findings.,0.975
2-s2.0-85182432140,56797394900,Interesting findings.,0.377
2-s2.0-85180956161,57216949321,Great paper!,0.666
2-s2.0-85180956161,57786951800,Great paper!,0.248
2-s2.0-85180956161,57189463058,Great paper!,0.218
2-s2.0-85184797583,37090305200,Great paper!,0.133
2-s2.0-85184797583,57546407900,Needs more clarity.,0.97
2-s2.0-85184797583,58032878600,Interesting findings.,0.27
2-s2.0-85185318666,25623132200,Needs more clarity.,0.329
2-s2.0-85185318666,57202402887,Needs more clarity.,0.158
2-s2.0-85185318666,58190528700,Great paper!,0.231
2-s2.0-85181971249,23485165800,Interesting findings.,0.329
2-s2.0-85181971249,58838034500,Great paper!,0.237
2-s2.0-85181971249,58838558600,Interesting findings.,0.628
2-s2.0-85182478105,57033178100,Needs more clarity.,0.738
2-s2.0-85182478105,57211707743,Interesting findings.,0.761
2-s2.0-85182478105,58742184300,Needs more clarity.,0.362
2-s2.0-85181704169,36543759800,Great paper!,0.223
2-s2.0-85181704169,55567948900,Interesting findings.,0.843
2-s2.0-85181704169,57116528800,Great paper!,0.383
2-s2.0-85178240017,57205230943,Needs more clarity.,0.524
2-s2.0-85178240017,57208053225,Needs more clarity.,0.243
2-s2.0-85178240017,58166998400,Interesting findings.,0.152
2-s2.0-85181946212,55566181400,Needs more clarity.,0.197
2-s2.0-85181946212,58695619000,Great paper!,0.024
2-s2.0-85181946212,57216456893,Great paper!,0.537
2-s2.0-85176316602,35788414400,Needs more clarity.,0.469
2-s2.0-85176316602,8986183400,Great paper!,0.537
2-s2.0-85176316602,57221478121,Great paper!,0.514
2-s2.0-85185550922,57192715756,Interesting findings.,0.693
2-s2.0-85185550922,58055044000,Needs more clarity.,0.646
2-s2.0-85185550922,58613567100,Great paper!,0.124
2-s2.0-85184718924,35227900900,Needs more clarity.,0.359
2-s2.0-85184718924,57191090723,Needs more clarity.,0.775
2-s2.0-85184718924,6506378017,Needs more clarity.,0.917
2-s2.0-85181453912,7006647411,Needs more clarity.,0.835
2-s2.0-85181453912,47962615300,Great paper!,0.402
2-s2.0-85181453912,58189581400,Interesting findings.,0.95
2-s2.0-85185339170,57214325021,Needs more clarity.,0.557
2-s2.0-85185339170,23390064600,Needs more clarity.,0.57
2-s2.0-85185339170,57206663526,Interesting findings.,0.995
2-s2.0-85185566942,57146052800,Interesting findings.,0.56
2-s2.0-85185566942,22634009600,Needs more clarity.,0.699
2-s2.0-85185566942,57191342671,Needs more clarity.,0.121
2-s2.0-85181765585,36504087400,Needs more clarity.,0.522
2-s2.0-85181765585,58726045700,Interesting findings.,0.731
2-s2.0-85181765585,7201858623,Great paper!,0.471
2-s2.0-85181462351,58876065400,Needs more clarity.,0.235
2-s2.0-85181462351,27168059100,Interesting findings.,0.755
2-s2.0-85181462351,57200091888,Needs more clarity.,0.584
2-s2.0-85181845969,57220502734,Great paper!,0.454
2-s2.0-85181845969,35570699500,Great paper!,0.596
2-s2.0-85181845969,57211707743,Needs more clarity.,0.281
2-s2.0-85185314600,58574858800,Great paper!,0.478
2-s2.0-85185314600,58701719200,Great paper!,0.426
2-s2.0-85185314600,57216080827,Needs more clarity.,0.543
2-s2.0-85181499563,58099813300,Great paper!,0.365
2-s2.0-85181499563,58046913100,Great paper!,0.471
2-s2.0-85181499563,7005891607,Interesting findings.,0.733
2-s2.0-85184608108,57189031036,Interesting findings.,0.191
2-s2.0-85184608108,6602955376,Interesting findings.,0.564
2-s2.0-85184608108,58882609800,Interesting findings.,0.362
2-s2.0-85181481803,56312797000,Needs more clarity.,0.655
2-s2.0-85181481803,58642434500,Great paper!,0.639
2-s2.0-85181481803,58844105300,Interesting findings.,0.413
2-s2.0-85181583240,57655791600,Interesting findings.,0.782
2-s2.0-85181583240,57192808241,Great paper!,0.027
2-s2.0-85181583240,57208899804,Great paper!,0.47
2-s2.0-85181940968,57216660047,Great paper!,0.407
2-s2.0-85181940968,57219758453,Great paper!,0.943
2-s2.0-85181940968,6507229444,Great paper!,0.915
2-s2.0-85181912099,58813929700,Great paper!,0.07
2-s2.0-85181912099,57201651863,Needs more clarity.,0.092
2-s2.0-85181912099,55456333300,Great paper!,0.578
2-s2.0-85181661085,57661638000,Interesting findings.,0.113
2-s2.0-85181661085,57195434522,Great paper!,0.686
2-s2.0-85181661085,44861763300,Needs more clarity.,0.328
2-s2.0-85181657545,58678974800,Great paper!,0.412
2-s2.0-85181657545,35230126500,Great paper!,0.885
2-s2.0-85181657545,48961513900,Needs more clarity.,0.726
2-s2.0-85178441941,57204217762,Great paper!,0.827
2-s2.0-85178441941,55848658800,Interesting findings.,0.854
2-s2.0-85178441941,15833988500,Great paper!,0.887
2-s2.0-85182479889,56086262800,Needs more clarity.,0.003
2-s2.0-85182479889,58195222000,Needs more clarity.,0.994
2-s2.0-85182479889,57216508261,Needs more clarity.,0.475
2-s2.0-85181469198,57222361096,Great paper!,0.628
2-s2.0-85181469198,58368598600,Great paper!,0.03
2-s2.0-85181469198,58679496400,Great paper!,0.351
2-s2.0-85182237959,55443529900,Needs more clarity.,0.449
2-s2.0-85182237959,55934066900,Interesting findings.,0.089
2-s2.0-85182237959,57948668000,Great paper!,0.908
2-s2.0-85181259382,12766263300,Interesting findings.,0.632
2-s2.0-85181259382,46161548800,Interesting findings.,0.354
2-s2.0-85181259382,58317139000,Interesting findings.,0.232
2-s2.0-85177184159,57218450876,Needs more clarity.,0.993
2-s2.0-85177184159,57372483000,Interesting findings.,0.853
2-s2.0-85177184159,16835649400,Needs more clarity.,0.515
2-s2.0-85182395966,58312021900,Needs more clarity.,0.704
2-s2.0-85182395966,57203951365,Needs more clarity.,0.427
2-s2.0-85182395966,58882064500,Interesting findings.,0.747
2-s2.0-85181922628,56358931400,Needs more clarity.,0.1
2-s2.0-85181922628,56196365400,Great paper!,0.991
2-s2.0-85181922628,58736944900,Needs more clarity.,0.361
2-s2.0-85180130101,58603554300,Great paper!,0.085
2-s2.0-85180130101,58170234500,Needs more clarity.,0.165
2-s2.0-85180130101,58798964300,Great paper!,0.063
2-s2.0-85181234488,57302224100,Interesting findings.,0.115
2-s2.0-85181234488,55264763700,Great paper!,0.713
2-s2.0-85181234488,24781034900,Needs more clarity.,0.413
2-s2.0-85181253046,7404165548,Interesting findings.,0.762
2-s2.0-85181253046,8253919100,Interesting findings.,0.584
2-s2.0-85181253046,57226558910,Interesting findings.,0.629
2-s2.0-85181966846,57240126800,Great paper!,0.675
2-s2.0-85181966846,57193680708,Interesting findings.,0.787
2-s2.0-85181966846,55801197800,Interesting findings.,0.435
2-s2.0-85182157173,54416574800,Needs more clarity.,0.061
2-s2.0-85182157173,57209394591,Interesting findings.,0.282
2-s2.0-85182157173,56115554000,Needs more clarity.,0.665
2-s2.0-85181736060,7005402323,Needs more clarity.,0.42
2-s2.0-85181736060,56559005200,Needs more clarity.,0.968
2-s2.0-85181736060,58896573400,Interesting findings.,0.566
2-s2.0-85185338542,55247563300,Great paper!,0.498
