START_ID,journal,volume,year,END_ID
2-s2.0-85183827137,Malaria Journal,23,2024,14
2-s2.0-85183605696,Nature Communications,15,2024,2
2-s2.0-85185329612,BMC Surgery,24,2024,34
2-s2.0-85185124499,BMC Medical Informatics and Decision Making,24,2024,35
2-s2.0-85183406078,Nature Communications,15,2024,2
2-s2.0-85183911168,Nature Communications,15,2024,2
2-s2.0-85181257279,npj Aging,10,2024,36
2-s2.0-85183127918,Journal of Environmental Sciences (China),145,2024,37
2-s2.0-85181852184,Journal of Cloud Computing,13,2024,10
2-s2.0-85181874649,Journal of Big Data,11,2024,38
2-s2.0-85185271303,Expert Systems with Applications,248,2024,39
2-s2.0-85181230481,"Eurasip Journal on Audio, Speech, and Music Processing",2024,2024,40
2-s2.0-85181249092,Nature Communications,15,2024,2
2-s2.0-85184619295,Environmental Science and Ecotechnology,21,2024,41
2-s2.0-85181910320,Nature Communications,15,2024,2
2-s2.0-85182462320,Journal of Cloud Computing,13,2024,10
2-s2.0-85182193508,BMC Surgery,24,2024,34
2-s2.0-85182199295,Nano-Micro Letters,16,2024,3
2-s2.0-85185317859,Expert Systems with Applications,248,2024,39
2-s2.0-85181758790,Cell Discovery,10,2024,11
2-s2.0-85181669346,BMC Pulmonary Medicine,24,2024,19
2-s2.0-85171991792,Journal of Integrated Science and Technology,12,2024,42
2-s2.0-85183536890,Structural Change and Economic Dynamics,70,2024,43
2-s2.0-85181686987,Nature Communications,15,2024,2
2-s2.0-85185327699,Tsinghua Science and Technology,29,2024,44
2-s2.0-85182463369,Nature Communications,15,2024,2
2-s2.0-85182475629,Scientific Reports,14,2024,5
2-s2.0-85182432140,Light: Science and Applications,13,2024,12
2-s2.0-85180956161,Light: Science and Applications,13,2024,12
2-s2.0-85184797583,Structural Change and Economic Dynamics,70,2024,43
2-s2.0-85185318666,Tsinghua Science and Technology,29,2024,44
2-s2.0-85181971249,Scientific Reports,14,2024,5
2-s2.0-85182478105,Communications Biology,7,2024,7
2-s2.0-85181704169,BMC Oral Health,24,2024,45
2-s2.0-85178240017,Health Information Science and Systems,12,2024,0
2-s2.0-85181946212,Cardiovascular Diabetology,23,2024,46
2-s2.0-85176316602,Nano-Micro Letters,16,2024,3
2-s2.0-85185550922,Expert Systems with Applications,248,2024,39
2-s2.0-85184718924,Science Immunology,9,2024,47
2-s2.0-85181453912,Communications Biology,7,2024,7
2-s2.0-85185339170,Tsinghua Science and Technology,29,2024,44
2-s2.0-85185566942,Expert Systems with Applications,249,2024,39
2-s2.0-85181765585,Computational and Structural Biotechnology Journal,23,2024,48
2-s2.0-85181462351,Nature Communications,15,2024,2
2-s2.0-85181845969,BMC Genomics,25,2024,24
2-s2.0-85185314600,Tsinghua Science and Technology,29,2024,44
2-s2.0-85181499563,Nature Communications,15,2024,2
2-s2.0-85184608108,Environmental Science and Ecotechnology,21,2024,41
2-s2.0-85181481803,BMC Psychology,12,2024,49
2-s2.0-85181583240,Nano-Micro Letters,16,2024,3
2-s2.0-85181940968,BMC Geriatrics,24,2024,50
2-s2.0-85181912099,Nature Communications,15,2024,2
2-s2.0-85181661085,Humanities and Social Sciences Communications,11,2024,1
2-s2.0-85181657545,Nature Communications,15,2024,2
2-s2.0-85178441941,Nano-Micro Letters,16,2024,3
2-s2.0-85182479889,Nature Communications,15,2024,2
2-s2.0-85181469198,Nature Communications,15,2024,2
2-s2.0-85182237959,Communications Earth and Environment,5,2024,51
2-s2.0-85181259382,Communications Earth and Environment,5,2024,51
2-s2.0-85177184159,Nano-Micro Letters,16,2024,3
2-s2.0-85182395966,"Eurasip Journal on Audio, Speech, and Music Processing",2024,2024,40
2-s2.0-85181922628,Humanities and Social Sciences Communications,11,2024,1
2-s2.0-85180130101,Nano-Micro Letters,16,2024,3
2-s2.0-85181234488,Nature Communications,15,2024,2
2-s2.0-85181253046,Nature Communications,15,2024,2
2-s2.0-85181966846,Scientific Reports,14,2024,5
2-s2.0-85182157173,Scientific Reports,14,2024,5
2-s2.0-85181736060,Communications Earth and Environment,5,2024,51
2-s2.0-85185338542,Tsinghua Science and Technology,29,2024,44
2-s2.0-85185244599,Expert Systems with Applications,248,2024,39
2-s2.0-85181747596,Humanities and Social Sciences Communications,11,2024,1
2-s2.0-85181247722,Nature Communications,15,2024,2
2-s2.0-85181707564,Nature Communications,15,2024,2
2-s2.0-85181243236,Genome Medicine,16,2024,52
2-s2.0-85181869817,Chinese Journal of Mechanical Engineering (English Edition),37,2024,53
2-s2.0-85181239146,Humanities and Social Sciences Communications,11,2024,1
2-s2.0-85181944663,BMC Infectious Diseases,24,2024,54
2-s2.0-85185550958,Expert Systems with Applications,249,2024,39
2-s2.0-85181254127,Nature Communications,15,2024,2
2-s2.0-85181232476,Geoscience Letters,11,2024,55
2-s2.0-85180368622,Frontiers of Computer Science,18,2024,56
2-s2.0-85182418756,Nature Communications,15,2024,2
2-s2.0-85181934224,npj Precision Oncology,8,2024,57
2-s2.0-85183462128,Journal of Environmental Sciences (China),144,2024,37
2-s2.0-85181243295,Scientific Reports,14,2024,5
2-s2.0-85185332569,Tsinghua Science and Technology,29,2024,44
2-s2.0-85182101855,BMC Oral Health,24,2024,45
2-s2.0-85181247648,Scientific Reports,14,2024,5
2-s2.0-85182096496,Nature Communications,15,2024,2
2-s2.0-85173776870,International Journal of Intelligent Systems and Applications in Engineering,12,2024,58
2-s2.0-85185484184,Journal of Advanced Research in Applied Sciences and Engineering Technology,39,2024,59
2-s2.0-85181907403,Nature Communications,15,2024,2
2-s2.0-85181904256,Nature Communications,15,2024,2
2-s2.0-85181233494,Nature Communications,15,2024,2
2-s2.0-85183465085,Journal of Environmental Sciences (China),145,2024,37
2-s2.0-85181902478,npj Parkinson's Disease,10,2024,60
2-s2.0-85181499873,Microbiome,12,2024,61
2-s2.0-85181685202,Nature Communications,15,2024,2
2-s2.0-85181234626,Journal of Cloud Computing,13,2024,10
2-s2.0-85177479751,Nano-Micro Letters,16,2024,3
2-s2.0-85186118924,Expert Systems with Applications,249,2024,39
2-s2.0-85181473154,Journal of Chinese Sociology,11,2024,31
2-s2.0-85180916370,Journal of Experimental and Clinical Cancer Research,43,2024,8
2-s2.0-85181901552,Financial Innovation,10,2024,62
2-s2.0-85181237108,Nature Communications,15,2024,2
2-s2.0-85182101071,European Journal of Medical Research,29,2024,63
2-s2.0-85184517798,Engineered Regeneration,5,2024,64
2-s2.0-85180532348,Journal of Materials Science and Technology,185,2024,65
2-s2.0-85185292243,Tsinghua Science and Technology,29,2024,44
2-s2.0-85186118487,Separation and Purification Technology,340,2024,66
2-s2.0-85184142684,Optics and Laser Technology,174,2024,67
2-s2.0-85185269191,Tsinghua Science and Technology,29,2024,44
2-s2.0-85180500113,Journal of Materials Science and Technology,184,2024,65
2-s2.0-85181068284,Expert Systems with Applications,244,2024,39
2-s2.0-85184995987,Engineering Applications of Artificial Intelligence,133,2024,68
2-s2.0-85185294816,Tsinghua Science and Technology,29,2024,44
2-s2.0-85185538059,Case Studies in Construction Materials,20,2024,69
2-s2.0-85179080440,IEEE Transactions on Applied Superconductivity,34,2024,70
2-s2.0-85183205605,Food Chemistry,443,2024,71
2-s2.0-85185809999,Review of Economic Dynamics,53,2024,72
2-s2.0-85184362080,Journal of Turbomachinery,146,2024,73
2-s2.0-85180542960,Case Studies in Construction Materials,20,2024,69
2-s2.0-85184477578,Expert Systems with Applications,247,2024,39
2-s2.0-85179009891,Case Studies in Construction Materials,20,2024,69
2-s2.0-85185313011,Tsinghua Science and Technology,29,2024,44
2-s2.0-85183454142,Case Studies in Construction Materials,20,2024,69
2-s2.0-85185814371,Journal of Building Engineering,86,2024,74
2-s2.0-85185465532,Learning and Instruction,91,2024,75
2-s2.0-85182913692,Expert Systems with Applications,245,2024,39
2-s2.0-85179389350,Environmental Science and Ecotechnology,20,2024,41
2-s2.0-85185846177,Astroparticle Physics,158,2024,76
2-s2.0-85185275121,Separation and Purification Technology,340,2024,66
2-s2.0-85185528521,Engineering Applications of Artificial Intelligence,133,2024,68
2-s2.0-85185273620,Tsinghua Science and Technology,29,2024,44
2-s2.0-85185194758,Tsinghua Science and Technology,29,2024,44
2-s2.0-85186084674,Sustainable Horizons,10,2024,77
2-s2.0-85183577996,Case Studies in Construction Materials,20,2024,69
2-s2.0-85185535845,Carbohydrate Polymers,333,2024,78
2-s2.0-85185312718,Tsinghua Science and Technology,29,2024,44
2-s2.0-85185532334,International Journal of Heat and Mass Transfer,224,2024,79
2-s2.0-85184751018,Information Fusion,106,2024,80
2-s2.0-85184519709,Precision Engineering,88,2024,81
2-s2.0-85185848112,Journal of Building Engineering,86,2024,74
2-s2.0-85182145167,Journal of Mathematical Analysis and Applications,534,2024,82
2-s2.0-85185835203,Journal of Building Engineering,86,2024,74
2-s2.0-85185287743,Tsinghua Science and Technology,29,2024,44
2-s2.0-85183998083,Case Studies in Construction Materials,20,2024,69
2-s2.0-85185840854,Journal of Building Engineering,86,2024,74
2-s2.0-85185282339,Tsinghua Science and Technology,29,2024,44
2-s2.0-85184071558,Applied Catalysis B: Environmental,347,2024,83
2-s2.0-85182395378,Optics and Laser Technology,174,2024,67
2-s2.0-85185581937,Carbon Capture Science and Technology,11,2024,84
2-s2.0-85185196409,Tsinghua Science and Technology,29,2024,44
2-s2.0-85179617179,Environmental Science and Ecotechnology,20,2024,41
2-s2.0-85184248477,Nano Research Energy,3,2024,85
2-s2.0-85185884009,Applied Catalysis B: Environmental,348,2024,83
2-s2.0-85182891404,Separation and Purification Technology,337,2024,66
2-s2.0-85184824720,Separation and Purification Technology,339,2024,66
2-s2.0-85179466658,Case Studies in Construction Materials,20,2024,69
2-s2.0-85185289037,Tsinghua Science and Technology,29,2024,44
2-s2.0-85185310993,Applied Catalysis B: Environmental,348,2024,83
2-s2.0-85184342897,Applied Catalysis B: Environmental,347,2024,83
2-s2.0-85185608461,Applied Catalysis B: Environmental,348,2024,83
2-s2.0-85185197049,Tsinghua Science and Technology,29,2024,44
2-s2.0-85184586401,Fuel,365,2024,86
2-s2.0-85183577318,Case Studies in Construction Materials,20,2024,69
2-s2.0-85185832192,International Journal of Electrical Power and Energy Systems,157,2024,87
2-s2.0-85181118530,Journal of Environmental Sciences (China),142,2024,37
2-s2.0-85183978030,Separation and Purification Technology,338,2024,66
2-s2.0-85184388530,Frontiers of Physics,19,2024,88
2-s2.0-85185313465,Tsinghua Science and Technology,29,2024,44
2-s2.0-85186118831,Journal of Building Engineering,86,2024,74
2-s2.0-85184570081,Separation and Purification Technology,339,2024,66
2-s2.0-85184221031,Nano Research Energy,3,2024,85
2-s2.0-85185179460,Manufacturing Letters,40,2024,89
2-s2.0-85185268230,Tsinghua Science and Technology,29,2024,44
2-s2.0-85182029381,Journal of Environmental Sciences (China),141,2024,37
2-s2.0-85182565590,Environmental Science and Ecotechnology,20,2024,41
2-s2.0-85184999772,Energy Reports,11,2024,90
2-s2.0-85183450381,Expert Systems with Applications,247,2024,39
2-s2.0-85185561869,Synthetic and Systems Biotechnology,9,2024,91
2-s2.0-85180709676,Journal of Environmental Sciences (China),142,2024,37
2-s2.0-85185838069,Engineering Applications of Artificial Intelligence,133,2024,68
2-s2.0-85152659115,Energy and Built Environment,5,2024,92
2-s2.0-85185832241,Atmospheric Research,302,2024,93
2-s2.0-85181777461,Journal of Materials Science and Technology,185,2024,65
2-s2.0-85186112161,Applied Ergonomics,118,2024,94
2-s2.0-85171578649,Energy and Built Environment,5,2024,92
2-s2.0-85184520672,Engineering Applications of Artificial Intelligence,133,2024,68
2-s2.0-85186112703,Annals of Nuclear Energy,201,2024,95
2-s2.0-85185182324,Information Fusion,106,2024,80
2-s2.0-85179588262,Journal of Materials Science and Technology,184,2024,65
2-s2.0-85185535367,Journal of Building Engineering,86,2024,74
2-s2.0-85184145626,Engineering Applications of Artificial Intelligence,133,2024,68
2-s2.0-85185892974,Journal of Energy Chemistry,93,2024,96
2-s2.0-85184233111,Nano Research Energy,3,2024,85
2-s2.0-85185517670,Separation and Purification Technology,340,2024,66
2-s2.0-85185253686,Tsinghua Science and Technology,29,2024,44
2-s2.0-85184149825,Journal of Mechanisms and Robotics,16,2024,97
2-s2.0-85180999682,Environmental Science and Ecotechnology,20,2024,41
2-s2.0-85184884577,International Journal of Heat and Mass Transfer,224,2024,79
2-s2.0-85185794389,Journal of Combinatorial Theory. Series B,167,2024,98
2-s2.0-85184226024,Nano Research Energy,3,2024,85
2-s2.0-85181733296,Expert Systems with Applications,245,2024,39
2-s2.0-85185498624,Acta Mechanica Sinica/Lixue Xuebao,40,2024,99
2-s2.0-85185252635,Tsinghua Science and Technology,29,2024,44
2-s2.0-85181536916,Separation and Purification Technology,335,2024,66
2-s2.0-85181586458,Experimental and Computational Multiphase Flow,6,2024,100
2-s2.0-85183470049,Engineering Applications of Artificial Intelligence,132,2024,68
2-s2.0-85181586736,Experimental and Computational Multiphase Flow,6,2024,100
2-s2.0-85184207846,Nano Research Energy,3,2024,85
2-s2.0-85183957660,Journal of Building Engineering,85,2024,74
2-s2.0-85177847665,Journal of Materials Science and Technology,181,2024,65
2-s2.0-85165879107,IEEE Transactions on Industrial Electronics,71,2024,101
2-s2.0-85184574351,Environmental Research,249,2024,102
2-s2.0-85181754483,Experimental and Computational Multiphase Flow,6,2024,100
2-s2.0-85181968666,Journal of the European Ceramic Society,44,2024,103
2-s2.0-85182871625,Journal of Food Engineering,370,2024,104
2-s2.0-85179582783,Tsinghua Science and Technology,29,2024,44
2-s2.0-85184816257,Applied Surface Science,655,2024,105
2-s2.0-85180535049,Expert Systems with Applications,243,2024,39
2-s2.0-85184218993,Nano Research Energy,3,2024,85
2-s2.0-85184006979,Journal of Differential Equations,390,2024,106
2-s2.0-85182353321,Sustainable Horizons,10,2024,77
2-s2.0-85179619923,Expert Systems with Applications,242,2024,39
2-s2.0-85179688371,Annals of PDE,10,2024,107
2-s2.0-85183179804,Food Chemistry,442,2024,71
2-s2.0-85181924950,Science of Remote Sensing,9,2024,108
2-s2.0-85179583582,Tsinghua Science and Technology,29,2024,44
2-s2.0-85183456549,Annals of Nuclear Energy,200,2024,95
2-s2.0-85179588234,Tsinghua Science and Technology,29,2024,44
2-s2.0-85179583742,Tsinghua Science and Technology,29,2024,44
2-s2.0-85185401196,Applied Surface Science,656,2024,105
2-s2.0-85185537635,Talanta,272,2024,109
2-s2.0-85181582314,Experimental and Computational Multiphase Flow,6,2024,100
2-s2.0-85166328634,IEEE Transactions on Industrial Electronics,71,2024,101
2-s2.0-85164424784,IEEE Transactions on Industrial Electronics,71,2024,101
2-s2.0-85161005004,IEEE Transactions on Industrial Electronics,71,2024,101
2-s2.0-85180373262,Applied Catalysis B: Environmental,344,2024,83
2-s2.0-85182885022,Carbon Capture Science and Technology,11,2024,84
2-s2.0-85179586847,Tsinghua Science and Technology,29,2024,44
2-s2.0-85180414536,Separation and Purification Technology,335,2024,66
2-s2.0-85179586848,Tsinghua Science and Technology,29,2024,44
2-s2.0-85182448330,Separation and Purification Technology,335,2024,66
2-s2.0-85179586164,Tsinghua Science and Technology,29,2024,44
2-s2.0-85181583650,Experimental and Computational Multiphase Flow,6,2024,100
2-s2.0-85181585417,Experimental and Computational Multiphase Flow,6,2024,100
2-s2.0-85165898717,IEEE Transactions on Industrial Electronics,71,2024,101
2-s2.0-85180553355,Separation and Purification Technology,335,2024,66
2-s2.0-85179584378,Tsinghua Science and Technology,29,2024,44
2-s2.0-85184204335,Nano Research Energy,3,2024,85
2-s2.0-85181976138,Applied Catalysis B: Environmental,345,2024,83
2-s2.0-85186142252,Frontiers of Chemical Science and Engineering,18,2024,110
2-s2.0-85179581540,Tsinghua Science and Technology,29,2024,44
2-s2.0-85182405871,Applied Catalysis B: Environmental,345,2024,83
2-s2.0-85179843466,Expert Systems with Applications,243,2024,39
2-s2.0-85183048016,Desalination,576,2024,111
2-s2.0-85183454323,Bioelectrochemistry,157,2024,112
2-s2.0-85184190281,Nano Research Energy,3,2024,85
2-s2.0-85179585975,Tsinghua Science and Technology,29,2024,44
2-s2.0-85181974102,Structural Change and Economic Dynamics,69,2024,43
2-s2.0-85183450236,Information Fusion,106,2024,80
2-s2.0-85181139520,Applied Catalysis B: Environmental,344,2024,83
2-s2.0-85184157338,Nano Research Energy,3,2024,85
2-s2.0-85179582468,Tsinghua Science and Technology,29,2024,44
2-s2.0-85181104701,Separation and Purification Technology,335,2024,66
2-s2.0-85179586025,Tsinghua Science and Technology,29,2024,44
2-s2.0-85185540073,Journal of Physics D: Applied Physics,57,2024,113
2-s2.0-85180986883,Food Chemistry,440,2024,71
2-s2.0-85184183120,Nano Research Energy,3,2024,85
2-s2.0-85165291341,IEEE Transactions on Industrial Electronics,71,2024,101
2-s2.0-85178663618,Expert Systems with Applications,242,2024,39
2-s2.0-85179585171,Tsinghua Science and Technology,29,2024,44
2-s2.0-85183462978,Information Fusion,106,2024,80
2-s2.0-85183425703,Separation and Purification Technology,336,2024,66
2-s2.0-85181870761,Journal of Computational and Applied Mathematics,443,2024,114
2-s2.0-85184011167,Desalination,576,2024,111
2-s2.0-85179585841,Tsinghua Science and Technology,29,2024,44
2-s2.0-85179585722,Tsinghua Science and Technology,29,2024,44
2-s2.0-85179587988,Tsinghua Science and Technology,29,2024,44
2-s2.0-85184157507,Nano Research Energy,3,2024,85
2-s2.0-85183968475,Journal of Building Engineering,85,2024,74
2-s2.0-85185882840,Chemical Engineering Science,290,2024,115
2-s2.0-85183987331,Journal of Differential Equations,391,2024,106
2-s2.0-85184146940,Journal of Building Engineering,85,2024,74
2-s2.0-85182692057,Underground Space (new),16,2024,116
2-s2.0-85179131469,Autonomous Agents and Multi-Agent Systems,38,2024,117
2-s2.0-85185608244,Physics Reports,1065,2024,118
2-s2.0-85176389507,Neural Regeneration Research,19,2024,119
2-s2.0-85179584626,Tsinghua Science and Technology,29,2024,44
2-s2.0-85181084218,Applied Catalysis B: Environmental,344,2024,83
2-s2.0-85184139067,Annals of Nuclear Energy,200,2024,95
2-s2.0-85185843386,Journal of Physics Condensed Matter,36,2024,120
2-s2.0-85180529474,Separation and Purification Technology,335,2024,66
2-s2.0-85178379004,Journal of Materials Science and Technology,182,2024,65
2-s2.0-85181749998,Journal of Computational and Applied Mathematics,441,2024,114
2-s2.0-85179587292,Tsinghua Science and Technology,29,2024,44
2-s2.0-85179482695,Journal of Environmental Sciences (China),140,2024,37
2-s2.0-85184519586,Journal of Colloid and Interface Science,662,2024,121
2-s2.0-85184598845,Environmental Research,249,2024,102
2-s2.0-85179583486,Tsinghua Science and Technology,29,2024,44
2-s2.0-85181814362,Journal of Mathematical Analysis and Applications,533,2024,82
2-s2.0-85185614807,Nanotechnology,35,2024,122
2-s2.0-85186126826,Chemical Engineering Science,290,2024,115
2-s2.0-85181582594,Experimental and Computational Multiphase Flow,6,2024,100
2-s2.0-85179581620,Tsinghua Science and Technology,29,2024,44
2-s2.0-85185001267,Marine Structures,95,2024,123
2-s2.0-85182604984,Frontiers of Environmental Science and Engineering,18,2024,124
2-s2.0-85185832267,Tribology International,193,2024,125
2-s2.0-85184055235,Landscape and Urban Planning,245,2024,126
2-s2.0-85183585669,Expert Systems with Applications,241,2024,39
2-s2.0-85186121409,Measurement Science and Technology,35,2024,127
2-s2.0-85183853061,Friction,12,2024,128
2-s2.0-85183945446,Journal of Materials Processing Technology,326,2024,129
2-s2.0-85182886730,Pattern Recognition,149,2024,130
2-s2.0-85185826021,Accident Analysis and Prevention,199,2024,131
2-s2.0-85184818262,IEEE Transactions on Applied Superconductivity,34,2024,70
2-s2.0-85185195185,Thin-Walled Structures,198,2024,132
2-s2.0-85185268780,Tribology International,193,2024,125
2-s2.0-85185177371,Progress in Energy and Combustion Science,102,2024,133
2-s2.0-85183616700,Environmental Research,248,2024,102
2-s2.0-85185846157,Applied Energy,361,2024,134
2-s2.0-85185344221,Nano Energy,123,2024,135
2-s2.0-85185884311,Tribology International,193,2024,125
2-s2.0-85183464433,Annals of Nuclear Energy,199,2024,95
2-s2.0-85185335190,"Resources, Conservation and Recycling",204,2024,136
2-s2.0-85185267215,Applied Thermal Engineering,244,2024,137
2-s2.0-85184840340,Friction,12,2024,128
2-s2.0-85184486676,Composites Part A: Applied Science and Manufacturing,180,2024,138
2-s2.0-85184807383,"Resources, Conservation and Recycling",204,2024,136
2-s2.0-85183976293,Reliability Engineering and System Safety,245,2024,139
2-s2.0-85183087765,Ophthalmology Science,4,2024,140
2-s2.0-85183986957,Environmental Research,248,2024,102
2-s2.0-85185159708,Journal of Building Engineering,84,2024,74
2-s2.0-85183996760,Fluid Phase Equilibria,580,2024,141
2-s2.0-85182475388,Friction,12,2024,128
2-s2.0-85184263951,Friction,12,2024,128
2-s2.0-85182271397,Computers in Human Behavior,154,2024,142
2-s2.0-85184028356,Tribology International,193,2024,125
2-s2.0-85183956759,Journal of Computing and Information Science in Engineering,24,2024,143
2-s2.0-85185005724,Thin-Walled Structures,198,2024,132
2-s2.0-85183206090,Journal of Parallel and Distributed Computing,187,2024,144
2-s2.0-85183835969,Journal of Building Engineering,84,2024,74
2-s2.0-85185812472,Optics Communications,558,2024,145
2-s2.0-85185881805,eTransportation,20,2024,146
2-s2.0-85182289215,IEEE Transactions on Applied Superconductivity,34,2024,70
2-s2.0-85183688578,Frontiers of Environmental Science and Engineering,18,2024,124
2-s2.0-85182367487,IEEE Transactions on Applied Superconductivity,34,2024,70
2-s2.0-85183080847,Natural Hazards Review,25,2024,147
2-s2.0-85182518487,Journal of Building Engineering,84,2024,74
2-s2.0-85182388467,Engineering Applications of Artificial Intelligence,131,2024,68
2-s2.0-85184520997,International Journal of Mechanical Sciences,269,2024,148
2-s2.0-85185177610,Applied Surface Science,654,2024,105
2-s2.0-85185392464,Dyes and Pigments,224,2024,149
2-s2.0-85184751278,Science of Computer Programming,234,2024,150
2-s2.0-85183956123,Optics and Lasers in Engineering,176,2024,151
2-s2.0-85183472996,Precision Engineering,87,2024,81
2-s2.0-85185848505,Entertainment Computing,50,2024,152
2-s2.0-85183521904,Ecological Informatics,80,2024,153
2-s2.0-85182594599,Fuel,363,2024,86
2-s2.0-85185196120,Thin-Walled Structures,198,2024,132
2-s2.0-85185729169,Measurement Science and Technology,35,2024,127
2-s2.0-85184138668,Thin-Walled Structures,198,2024,132
2-s2.0-85184841084,Journal of Materials Processing Technology,326,2024,129
2-s2.0-85185298427,Atmospheric Pollution Research,15,2024,154
