name,ID,domain
"Carcinoma, Hepatocellular",00000208,computerscience
"Chemoembolization, Therapeutic",00000209,computerscience
Artificial Intelligence,00000210,computerscience
cooling,00000211,computerscience
design,00000212,computerscience
performance assessment,00000213,computerscience
CRISPR-Cas Systems,00000214,computerscience
DNA,00000215,computerscience
Genome,00000216,computerscience
Acidification,00000217,computerscience
Anaerobic digestion,00000218,computerscience
Iron powder,00000219,computerscience
Contamination,00000220,computerscience
Image enhancement,00000221,computerscience
Mobile edge computing,00000222,computerscience
Artificial intelligence,00000223,computerscience
Augmented reality,00000224,computerscience
Graphics processing unit,00000225,computerscience
Audio acoustics,00000226,computerscience
Semantic Segmentation,00000227,computerscience
ion,00000228,computerscience
quantum dot,00000229,computerscience
graphene,00000230,computerscience
graphene oxide,00000231,computerscience
nanosheet,00000232,computerscience
Quality of service,00000233,computerscience
Acute Disease,00000234,computerscience
Creatine Kinase,00000235,computerscience
Additives,00000236,computerscience
Corrosion,00000237,computerscience
Electrodes,00000238,computerscience
AS graph,00000239,computerscience
Dynamic network,00000240,computerscience
Influence maximizations,00000241,computerscience
Albumins,00000242,computerscience
"Biomarkers, Tumor",00000243,computerscience
Bronchiectasis,00000244,computerscience
air quality,00000245,computerscience
atmospheric pollution,00000246,computerscience
dye,00000247,computerscience
phenol derivative,00000248,computerscience
Bitcoin,00000249,computerscience
Storage efficiency,00000250,computerscience
competition,00000251,computerscience
Nonlinear optics,00000252,computerscience
Silicon nitride,00000253,computerscience
Chip-scale,00000254,computerscience
Color centers,00000255,computerscience
Diffraction,00000256,computerscience
Gallium arsenide,00000257,computerscience
economic policy,00000258,computerscience
financial crisis,00000259,computerscience
Convolutional neural networks,00000260,computerscience
Localisation,00000261,computerscience
Antiphospholipid Syndrome,00000262,computerscience
Biomarkers,00000263,computerscience
Cohort Studies,00000264,computerscience
Ameloblastoma,00000265,computerscience
accuracy,00000266,computerscience
aortic regurgitation,00000267,computerscience
ADP-Ribosylation Factors,00000268,computerscience
Carotid Intima-Media Thickness,00000269,computerscience
Learning systems,00000270,computerscience
Wearable sensors,00000271,computerscience
C (programming language),00000272,computerscience
Classification (of information),00000273,computerscience
Fuzzy systems,00000274,computerscience
"Carcinoma, Squamous Cell",00000275,computerscience
Gene Expression Profiling,00000276,computerscience
Cybersecurity,00000277,computerscience
Interoperability,00000278,computerscience
Intrusion detection,00000279,computerscience
Blind source separation,00000280,computerscience
Cell proliferation,00000281,computerscience
Clustering algorithms,00000282,computerscience
hydrogen,00000283,computerscience
renewable fuel,00000284,computerscience
Entropy,00000285,computerscience
"Genes, Essential",00000286,computerscience
Anomaly detection,00000287,computerscience
Data mining,00000288,computerscience
Electric power distribution,00000289,computerscience
Action Potentials,00000290,computerscience
Learning,00000291,computerscience
Adolescent,00000292,computerscience
Adult,00000293,computerscience
Adverse Childhood Experiences,00000294,computerscience
Anodes,00000295,computerscience
Crystallography,00000296,computerscience
Electrochemical electrodes,00000297,computerscience
Exercise,00000298,computerscience
monitoring system,00000299,computerscience
self assessment,00000300,computerscience
testing method,00000301,computerscience
poly(vinylidene fluoride ran trifluoroethylene),00000302,computerscience
unclassified drug,00000303,computerscience
Diffusion barriers,00000304,computerscience
High resolution transmission electron microscopy,00000305,computerscience
Ions,00000306,computerscience
Brownian motion,00000307,computerscience
diffusion,00000308,computerscience
metal,00000309,computerscience
nanomaterial,00000310,computerscience
asymmetry,00000311,computerscience
benthic foraminifera,00000312,computerscience
calcification,00000313,computerscience
carbon cycle,00000314,computerscience
action plan,00000315,computerscience
anthropogenic effect,00000316,computerscience
biodiversity,00000317,computerscience
Boron nitride,00000318,computerscience
Dielectric properties,00000319,computerscience
III-V semiconductors,00000320,computerscience
Controllable music generation,00000321,computerscience
Diverse range,00000322,computerscience
Electric generators,00000323,computerscience
Energy harvesting,00000324,computerscience
Functional materials,00000325,computerscience
DNA Damage,00000326,computerscience
DNA Primase,00000327,computerscience
DNA Replication,00000328,computerscience
Acetylation,00000329,computerscience
B-Lymphocytes,00000330,computerscience
Antimicrobial Peptides,00000331,computerscience
bedrock,00000332,computerscience
dislocation,00000333,computerscience
Sahara,00000334,computerscience
atmospheric circulation,00000335,computerscience
cloud cover,00000336,computerscience
Complex networks,00000337,computerscience
Forecasting,00000338,computerscience
Combinatorial optimization,00000339,computerscience
Nucleosomes,00000340,computerscience
Ascomycota,00000341,computerscience
Brain Neoplasms,00000342,computerscience
Cell Proliferation,00000343,computerscience
Epithelial Cells,00000344,computerscience
Autonomous vehicles,00000345,computerscience
Antiviral Agents,00000346,computerscience
Customer satisfaction,00000347,computerscience
Adipocytes,00000348,computerscience
Fatty Acids,00000349,computerscience
Qinghai-Xizang Plateau,00000350,computerscience
computer simulation,00000351,computerscience
Graph theory,00000352,computerscience
Recommender systems,00000353,computerscience
User profile,00000354,computerscience
free radical,00000355,computerscience
gold nanoparticle,00000356,computerscience
hydroxyl radical,00000357,computerscience
"2 ((4 (2,3 dichlorophenyl)piperazin 1 yl)(pyridin 3 yl)methyl) phenol",00000358,computerscience
anaphase promoting complex,00000359,computerscience
antineoplastic agent,00000360,computerscience
Beijing [Beijing (ADS)],00000361,computerscience
gasoline,00000362,computerscience
Information retrieval,00000363,computerscience
Data capability,00000364,computerscience
Computer-Aided Design,00000365,computerscience
Crowns,00000366,computerscience
Dental Prosthesis Design,00000367,computerscience
Drowning,00000368,computerscience
carbon nanotube,00000369,computerscience
molecular layer,00000370,computerscience
nanolattice,00000371,computerscience
acid anhydride,00000372,computerscience
microplastic,00000373,computerscience
copper,00000374,computerscience
metal nanoparticle,00000375,computerscience
Cell Differentiation,00000376,computerscience
Germ Cells,00000377,computerscience
Carbon dioxide,00000378,computerscience
Chemical oxygen demand,00000379,computerscience
CRISPR associated endonuclease Cas9,00000380,computerscience
diethyl pyrocarbonate,00000381,computerscience
Bicycling,00000382,computerscience
Agriculture,00000383,computerscience
"Crops, Agricultural",00000384,computerscience
Cloud computing,00000385,computerscience
Dynamics,00000386,computerscience
Electric loads,00000387,computerscience
Catalysts,00000388,computerscience
Doping (additives),00000389,computerscience
Lithium,00000390,computerscience
Decision making,00000391,computerscience
Graphic methods,00000392,computerscience
beta Catenin,00000393,computerscience
crystal structure,00000394,computerscience
"Abortion, Spontaneous",00000395,computerscience
Embryo Transfer,00000396,computerscience
Cell engineering,00000397,computerscience
Hydrogels,00000398,computerscience
Nanofibers,00000399,computerscience
Feldspar,00000400,computerscience
Fluorspar,00000401,computerscience
Application programming interfaces (API),00000402,computerscience
Big data,00000403,computerscience
Cluster computing,00000404,computerscience
Gases,00000405,computerscience
Hydrodynamics,00000406,computerscience
Mass transfer,00000407,computerscience
Image resolution,00000408,computerscience
Imaging systems,00000409,computerscience
Axial resolutions,00000410,computerscience
Image representation,00000411,computerscience
Iterative methods,00000412,computerscience
Restoration,00000413,computerscience
Aluminum corrosion,00000414,computerscience
Binary alloys,00000415,computerscience
Corrosion resistance,00000416,computerscience
Face recognition,00000417,computerscience
Genes,00000418,computerscience
Adaptive boosting,00000419,computerscience
Carbonation,00000420,computerscience
Concrete aggregates,00000421,computerscience
Concrete mixtures,00000422,computerscience
Fabrication,00000423,computerscience
Lead alloys,00000424,computerscience
Clustered Regularly Interspaced Short Palindromic Repeats,00000425,computerscience
Food Quality,00000426,computerscience
Aerodynamics,00000427,computerscience
Aeroelasticity,00000428,computerscience
Elastic waves,00000429,computerscience
Fracture toughness,00000430,computerscience
High strength steel,00000431,computerscience
Impact strength,00000432,computerscience
Diagnosis,00000433,computerscience
Graph neural networks,00000434,computerscience
Calcium silicate,00000435,computerscience
Dynamic programming,00000436,computerscience
Grinding (machining),00000437,computerscience
Cost effectiveness,00000438,computerscience
Efficiency,00000439,computerscience
Information services,00000440,computerscience
Bearing capacity,00000441,computerscience
Composite structures,00000442,computerscience
Cracks,00000443,computerscience
Architectural design,00000444,computerscience
Balancing,00000445,computerscience
Energy efficiency,00000446,computerscience
Bismuth compounds,00000447,computerscience
Digital libraries,00000448,computerscience
Long short-term memory,00000449,computerscience
Calibration,00000450,computerscience
Dark Matter,00000451,computerscience
Galaxies,00000452,computerscience
Database systems,00000453,computerscience
Generative adversarial networks,00000454,computerscience
Box office,00000455,computerscience
Differential algorithms,00000456,computerscience
Multilayer neural networks,00000457,computerscience
Optical resolving power,00000458,computerscience
Cost benefit analysis,00000459,computerscience
Damage detection,00000460,computerscience
Adhesives,00000461,computerscience
Biosynthesis,00000462,computerscience
Chitin,00000463,computerscience
Data privacy,00000464,computerscience
Fog computing,00000465,computerscience
Health care,00000466,computerscience
Thermal conductivity,00000467,computerscience
Bayesian optimization,00000468,computerscience
Conductivity distributions,00000469,computerscience
IIR filters,00000470,computerscience
Turning,00000471,computerscience
Control schemes,00000472,computerscience
Concrete testing,00000473,computerscience
Fiber reinforced materials,00000474,computerscience
Fibers,00000475,computerscience
Compression testing,00000476,computerscience
Grouting,00000477,computerscience
Brain,00000478,computerscience
Acoustic emission testing,00000479,computerscience
Rocks,00000480,computerscience
Axial compression,00000481,computerscience
Precast concrete,00000482,computerscience
Bayesian networks,00000483,computerscience
Inference engines,00000484,computerscience
Learning algorithms,00000485,computerscience
Light extinction,00000486,computerscience
Light modulators,00000487,computerscience
Microresonators,00000488,computerscience
Construction,00000489,computerscience
Construction industry,00000490,computerscience
Cost reduction,00000491,computerscience
Carbonates,00000492,computerscience
Catalysis,00000493,computerscience
Catalytic reforming,00000494,computerscience
Disasters,00000495,computerscience
Ductility,00000496,computerscience
Lithology,00000497,computerscience
Petroleum prospecting,00000498,computerscience
Base stations,00000499,computerscience
Energy utilization,00000500,computerscience
High performance concrete,00000501,computerscience
Crime,00000502,computerscience
Losses,00000503,computerscience
Flame retardants,00000504,computerscience
Neurons,00000505,computerscience
Automation,00000506,computerscience
Magnetic field measurement,00000507,computerscience
Magnetic fields,00000508,computerscience
Air quality,00000509,computerscience
Milling (machining),00000510,computerscience
Anti-counterfeiting,00000511,computerscience
Colouration,00000512,computerscience
Decision method,00000513,computerscience
Edge device,00000514,computerscience
Evolution process,00000515,computerscience
Health risks,00000516,computerscience
Buildings,00000517,computerscience
Computer software,00000518,computerscience
Consumer behavior,00000519,computerscience
amino acid sequence,00000520,computerscience
computer model,00000521,computerscience
Adsorption,00000522,computerscience
Chemicals removal (water treatment),00000523,computerscience
Chromium compounds,00000524,computerscience
Benchmarking,00000525,computerscience
Control nonlinearities,00000526,computerscience
Feedforward control,00000527,computerscience
Air cleaners,00000528,computerscience
Correlation methods,00000529,computerscience
Guangdong,00000530,computerscience
Guangzhou,00000531,computerscience
Austenite,00000532,computerscience
Chemical stability,00000533,computerscience
Elongation,00000534,computerscience
Automated driving,00000535,computerscience
Conditional automated driving,00000536,computerscience
Earcons,00000537,computerscience
Emission control,00000538,computerscience
Energy conservation,00000539,computerscience
Environmental management,00000540,computerscience
Eye protection,00000541,computerscience
Neural network models,00000542,computerscience
Addition algorithms,00000543,computerscience
Discrete elements method,00000544,computerscience
Convolution,00000545,computerscience
Decoding,00000546,computerscience
Austenitic stainless steel,00000547,computerscience
Cells,00000548,computerscience
Cytology,00000549,computerscience
Concrete beams and girders,00000550,computerscience
Elastoplasticity,00000551,computerscience
Longitudinal control,00000552,computerscience
Catalyst selectivity,00000553,computerscience
Cobalt,00000554,computerscience
Copper compounds,00000555,computerscience
Edge detection,00000556,computerscience
Concretes,00000557,computerscience
Kinematics,00000558,computerscience
Computational complexity,00000559,computerscience
Gravity waves,00000560,computerscience
Heat convection,00000561,computerscience
Probability density function,00000562,computerscience
Boundary layers,00000563,computerscience
Electrochemical oxidation,00000564,computerscience
Heat transfer,00000565,computerscience
High speed cameras,00000566,computerscience
Indium compounds,00000567,computerscience
Autocorrelation,00000568,computerscience
Fault detection,00000569,computerscience
Flow velocity,00000570,computerscience
Hemodynamics,00000571,computerscience
Patents and inventions,00000572,computerscience
Lighting,00000573,computerscience
Cerium oxide,00000574,computerscience
Gadolinium compounds,00000575,computerscience
Ionic conduction in solids,00000576,computerscience
Accident prevention,00000577,computerscience
Accidents,00000578,computerscience
Adaptive control systems,00000579,computerscience
Density of gases,00000580,computerscience
Flow patterns,00000581,computerscience
Ferroelectricity,00000582,computerscience
Computational fluid dynamics,00000583,computerscience
Control systems,00000584,computerscience
Frequency modulation,00000585,computerscience
Modulators,00000586,computerscience
Radio transmission,00000587,computerscience
Binding energy,00000588,computerscience
Ionomers,00000589,computerscience
Crops,00000590,computerscience
Dynamic frequency scaling,00000591,computerscience
Degradation,00000592,computerscience
Dehydration,00000593,computerscience
Ethylene,00000594,computerscience
Multitasking,00000595,computerscience
Codes (symbols),00000596,computerscience
Natural convection,00000597,computerscience
Nuclear reactor accidents,00000598,computerscience
Computer operating systems,00000599,computerscience
Display devices,00000600,computerscience
Embedded systems,00000601,computerscience
Nonionic surfactants,00000602,computerscience
Nucleation,00000603,computerscience
Antibodies,00000604,computerscience
Antigen-antibody reactions,00000605,computerscience
Body fluids,00000606,computerscience
Combustion,00000607,computerscience
Circuit simulation,00000608,computerscience
Fast Fourier transforms,00000609,computerscience
Navigation,00000610,computerscience
Reinforcement learning,00000611,computerscience
Electric current control,00000612,computerscience
Electric inverters,00000613,computerscience
Sliding mode control,00000614,computerscience
Catalyst activity,00000615,computerscience
Flow of gases,00000616,computerscience
Multiwalled carbon nanotubes (MWCN),00000617,computerscience
Oxidation,00000618,computerscience
Binding sites,00000619,computerscience
Cadmium compounds,00000620,computerscience
Data sampling,00000621,computerscience
Federated learning,00000622,computerscience
Damping,00000623,computerscience
Viscosity,00000624,computerscience
Artificial viscosity,00000625,computerscience
Chemical reactors,00000626,computerscience
Fluid catalytic cracking,00000627,computerscience
Electric power transmission,00000628,computerscience
Equivalent circuits,00000629,computerscience
Power converters,00000630,computerscience
Authentication,00000631,computerscience
Authorization,00000632,computerscience
Cryptography,00000633,computerscience
Cobalt compounds,00000634,computerscience
Electronic structure,00000635,computerscience
Electrons,00000636,computerscience
Alcohols,00000637,computerscience
Catalyst supports,00000638,computerscience
Cyber Physical System,00000639,computerscience
Decontamination,00000640,computerscience
Biomolecules,00000641,computerscience
Biosensors,00000642,computerscience
Chemical detection,00000643,computerscience
Battery management systems,00000644,computerscience
Cost engineering,00000645,computerscience
Dynamometers,00000646,computerscience
birth rate,00000647,computerscience
environmental policy,00000648,computerscience
Atoms,00000649,computerscience
Coordination reactions,00000650,computerscience
Blockchain,00000651,computerscience
Computation offloading,00000652,computerscience
Adhesion,00000653,computerscience
Effluents,00000654,computerscience
Couplings,00000655,computerscience
Ising model,00000656,computerscience
Charged particles,00000657,computerscience
Gas Chromatography-Mass Spectrometry,00000658,computerscience
Lactones,00000659,computerscience
Odorants,00000660,computerscience
Closed loop systems,00000661,computerscience
Disturbance rejection,00000662,computerscience
Error compensation,00000663,computerscience
Facings,00000664,computerscience
Merging,00000665,computerscience
Control variable,00000666,computerscience
Internet of things,00000667,computerscience
Change detection,00000668,computerscience
Image fusion,00000669,computerscience
Intelligent systems,00000670,computerscience
Risk perception,00000671,computerscience
Deep neural networks,00000672,computerscience
Matrix algebra,00000673,computerscience
Satellite communication systems,00000674,computerscience
Block markov superposition transmission,00000675,computerscience
Embeddings,00000676,computerscience
Neural networks,00000677,computerscience
Robotics,00000678,computerscience
Concrete construction,00000679,computerscience
Earthquakes,00000680,computerscience
Feature Selection,00000681,computerscience
Cobalt Compounds,00000682,computerscience
Aspect ratio,00000683,computerscience
Axial loads,00000684,computerscience
Buckling,00000685,computerscience
Mortar,00000686,computerscience
Behavior policy,00000687,computerscience
long untranslated RNA,00000688,computerscience
RNA polymerase II,00000689,computerscience
Behavioral research,00000690,computerscience
Cooperative network reengineering,00000691,computerscience
Cooperative networks,00000692,computerscience
Acceleration,00000693,computerscience
Capillary flow,00000694,computerscience
Lakes,00000695,computerscience
Sensitivity analysis,00000696,computerscience
Capacity,00000697,computerscience
Biocompatibility,00000698,computerscience
Magnesium alloys,00000699,computerscience
Convergence of numerical methods,00000700,computerscience
Finite difference method,00000701,computerscience
Constraint programming,00000702,computerscience
India,00000703,computerscience
Durability,00000704,computerscience
Hydrogen,00000705,computerscience
Metal substrates,00000706,computerscience
Budget control,00000707,computerscience
Costs,00000708,computerscience
Density functional theory,00000709,computerscience
Layered semiconductors,00000710,computerscience
Monolayers,00000711,computerscience
Activation energy,00000712,computerscience
Association reactions,00000713,computerscience
Air,00000714,computerscience
Cabins (aircraft),00000715,computerscience
5G mobile communication systems,00000716,computerscience
Bandwidth,00000717,computerscience
Cognitive radio,00000718,computerscience
Naphthalene,00000719,computerscience
Polyethylenes,00000720,computerscience
Soil testing,00000721,computerscience
Aircraft engines,00000722,computerscience
Electroplating,00000723,computerscience
ambient noise,00000724,computerscience
greenspace,00000725,computerscience
Economics,00000726,computerscience
Extraction,00000727,computerscience
Image processing,00000728,computerscience
Coremaking,00000729,computerscience
Electric currents,00000730,computerscience
Errors,00000731,computerscience
End effectors,00000732,computerscience
Geometry,00000733,computerscience
Pressure distribution,00000734,computerscience
Grain refinement,00000735,computerscience
Hardness,00000736,computerscience
Microstructure,00000737,computerscience
Electrophysiology,00000738,computerscience
Feature extraction,00000739,computerscience
Electric power system protection,00000740,computerscience
Electric power system stability,00000741,computerscience
Reliability,00000742,computerscience
Stiffness,00000743,computerscience
Vibrations (mechanical),00000744,computerscience
Charging (batteries),00000745,computerscience
Economic and social effects,00000746,computerscience
Electric load dispatching,00000747,computerscience
Cathodes,00000748,computerscience
Lithium compounds,00000749,computerscience
Carbon films,00000750,computerscience
Copper oxides,00000751,computerscience
Buffer layers,00000752,computerscience
Kinetic energy,00000753,computerscience
Aluminum,00000754,computerscience
Aluminum powder metallurgy,00000755,computerscience
Friction,00000756,computerscience
Machine learning,00000757,computerscience
Polymer matrix composites,00000758,computerscience
fluorescent dye,00000759,computerscience
vasculotropin inhibitor,00000760,computerscience
Phase equilibria,00000761,computerscience
Diffusion,00000762,computerscience
Nanocrystals,00000763,computerscience
Education computing,00000764,computerscience
Engineering education,00000765,computerscience
Intelligent robots,00000766,computerscience
Bending tests,00000767,computerscience
Bolts,00000768,computerscience
Failure modes,00000769,computerscience
Computing power,00000770,computerscience
Green computing,00000771,computerscience
Ceilings,00000772,computerscience
Fire protection,00000773,computerscience
Cavity resonators,00000774,computerscience
Delta modulation,00000775,computerscience
Calorimeters,00000776,computerscience
Barium compounds,00000777,computerscience
Finite element method,00000778,computerscience
Bacteria,00000779,computerscience
Biodiversity,00000780,computerscience
Numerical analysis,00000781,computerscience
Risk assessment,00000782,computerscience
Superconducting coils,00000783,computerscience
Disaster prevention,00000784,computerscience
Emergency services,00000785,computerscience
Nonlinear analysis,00000786,computerscience
Nonlinear equations,00000787,computerscience
Shear flow,00000788,computerscience
Electroluminescence,00000789,computerscience
Molecular physics,00000790,computerscience
Potential energy,00000791,computerscience
Aerogels,00000792,computerscience
Aramid fibers,00000793,computerscience
Fracture mechanics,00000794,computerscience
Detection,00000795,computerscience
Fluorescence,00000796,computerscience
Measuring Instruments,00000797,computerscience
HTTP,00000798,computerscience
Image reconstruction,00000799,computerscience
MEMS,00000800,computerscience
3D reconstruction,00000801,computerscience
Ball screws,00000802,computerscience
Controllers,00000803,computerscience
Shandong,00000804,computerscience
Yellow River Delta,00000805,computerscience
Activated carbon,00000806,computerscience
Bamboo,00000807,computerscience
Carbonization,00000808,computerscience
Bioinformatics,00000809,computerscience
Biomechanics,00000810,computerscience
Air navigation,00000811,computerscience
Antennas,00000812,computerscience
Autonomous agents,00000813,computerscience
Butt welding,00000814,computerscience
Constitutive models,00000815,computerscience
Die casting,00000816,computerscience
Dies,00000817,computerscience
High pressure effects,00000818,computerscience
Taiwan,00000819,computerscience
carbon monoxide,00000820,computerscience
Conversion efficiency,00000821,computerscience
Electronic equipment,00000822,computerscience
Blood vessels,00000823,computerscience
Asphalt,00000824,computerscience
Asphalt pavements,00000825,computerscience
Quality control,00000826,computerscience
3D printing,00000827,computerscience
Metamaterials,00000828,computerscience
Shape optimization,00000829,computerscience
Battery Pack,00000830,computerscience
Sand,00000831,computerscience
Sediment transport,00000832,computerscience
Sedimentation,00000833,computerscience
Fluorescence microscopy,00000834,computerscience
Amorphous silicon,00000835,computerscience
Economic analysis,00000836,computerscience
complexity,00000837,computerscience
composite,00000838,computerscience
concentration (composition),00000839,computerscience
Feedback,00000840,computerscience
Integer programming,00000841,computerscience
Aerodynamic loads,00000842,computerscience
Numerical methods,00000843,computerscience
Numerical models,00000844,computerscience
Aerosols,00000845,computerscience
Air pollution,00000846,computerscience
Stability,00000847,computerscience
Climate change,00000848,computerscience
Climate models,00000849,computerscience
Decommissioning (nuclear reactors),00000850,computerscience
Integrated circuits,00000851,computerscience
Low power electronics,00000852,computerscience
Quantum computers,00000853,computerscience
Dielectric materials,00000854,computerscience
Electric fields,00000855,computerscience
Triboelectricity,00000856,computerscience
Ferromagnetic materials,00000857,computerscience
Magnetic domains,00000858,computerscience
Chelation,00000859,computerscience
Chlorination,00000860,computerscience
Chlorine compounds,00000861,computerscience
Gradient methods,00000862,computerscience
Image coding,00000863,computerscience
Luminescence,00000864,computerscience
Nanoparticles,00000865,computerscience
Failure (mechanical),00000866,computerscience
Membranes,00000867,computerscience
Grain boundaries,00000868,computerscience
Heuristic methods,00000869,computerscience
